timestamp,date,symbol,quantity,average_entry,latest_price,market_value,portfolio_weight,unrealized_pnl
2026-09-15T11:09:29.812621+00:00,2026-09-15,CASH,1,1,1,1000.0,1.0,0
2026-09-15T17:25:02.175698+00:00,2026-09-15,CASH,1,1,1,1000.0,1.0,0
2026-09-15T20:20:16.535566+00:00,2026-09-15,CASH,1,1,1,1000.0,1.0,0
2026-09-15T23:00:09.212613+00:00,2026-09-15,CASH,1,1,1,1000.0,1.0,0
2026-09-16T17:24:06.132491+00:00,2026-09-16,META,0.29559426,676.603132,676.265,199.9,0.19994002,-0.1
2026-09-16T17:24:06.132491+00:00,2026-09-16,AAPL,0.6002044,333.18651,333.02,199.8801,0.19992003,-0.0999
2026-09-16T17:24:06.132491+00:00,2026-09-16,CASH,1,1,1,600.02,0.60013995,0
2026-09-16T20:18:23.646617+00:00,2026-09-16,AAPL,0.6002044,333.18651,332.49,199.562,0.19982347,-0.418
2026-09-16T20:18:23.646617+00:00,2026-09-16,META,0.29559426,676.603132,673.59,199.1093,0.19937025,-0.8907
2026-09-16T20:18:23.646617+00:00,2026-09-16,CASH,1,1,1,600.02,0.60080627,0
2026-09-16T23:05:37.095803+00:00,2026-09-16,AAPL,0.6002044,333.18651,332.49,199.562,0.19980632,-0.418
2026-09-16T23:05:37.095803+00:00,2026-09-16,META,0.29559426,676.603132,673.88,199.1951,0.19943897,-0.8049
2026-09-16T23:05:37.095803+00:00,2026-09-16,CASH,1,1,1,600.02,0.60075471,0
2026-09-17T17:23:20.337734+00:00,2026-09-17,AAPL,0.6002044,333.18651,335.535,201.3896,0.2010078,1.4096
2026-09-17T17:23:20.337734+00:00,2026-09-17,META,0.29559426,676.603132,678.26,200.4898,0.20010969,0.4898
2026-09-17T17:23:20.337734+00:00,2026-09-17,CASH,1,1,1,600.02,0.59888251,0
2026-09-17T20:26:48.840348+00:00,2026-09-17,AAPL,0.6002044,333.18651,337.09,202.3229,0.2015601,2.3429
2026-09-17T20:26:48.840348+00:00,2026-09-17,META,0.29559426,676.603132,681.48,201.4416,0.2006821,1.4416
2026-09-17T20:26:48.840348+00:00,2026-09-17,CASH,1,1,1,600.02,0.5977578,0
2026-09-17T22:58:14.560857+00:00,2026-09-17,AAPL,0.6002044,333.18651,337.09,202.3229,0.2015601,2.3429
2026-09-17T22:58:14.560857+00:00,2026-09-17,META,0.29559426,676.603132,681.48,201.4416,0.2006821,1.4416
2026-09-17T22:58:14.560857+00:00,2026-09-17,CASH,1,1,1,600.02,0.5977578,0
2026-09-18T16:51:19.483192+00:00,2026-09-18,AAPL,0.6002044,333.18651,334.53,200.7864,0.20089702,0.8064
2026-09-18T16:51:19.483192+00:00,2026-09-18,META,0.29559426,676.603132,672.35,198.7428,0.19885231,-1.2572
2026-09-18T16:51:19.483192+00:00,2026-09-18,GOOGL,0.57075505,350.25504,350.08,199.8099,0.19992003,-0.0999
2026-09-18T16:51:19.483192+00:00,2026-09-18,CASH,1,1,1,400.1102,0.40033063,0
2026-09-18T19:20:44.172646+00:00,2026-09-18,AAPL,0.6002044,333.18651,336.245,201.8157,0.2016011,1.8357
2026-09-18T19:20:44.172646+00:00,2026-09-18,GOOGL,0.57075505,350.25504,351.49,200.6147,0.20040134,0.7049
2026-09-18T19:20:44.172646+00:00,2026-09-18,META,0.29559426,676.603132,671.61,198.5241,0.19831293,-1.4759
2026-09-18T19:20:44.172646+00:00,2026-09-18,CASH,1,1,1,400.1102,0.39968464,0
2026-09-18T21:45:44.349430+00:00,2026-09-18,AAPL,0.6002044,333.18651,335.36,201.2845,0.20128658,1.3045
2026-09-18T21:45:44.349430+00:00,2026-09-18,GOOGL,0.57075505,350.25504,349.23,199.3248,0.19932679,-0.585
2026-09-18T21:45:44.349430+00:00,2026-09-18,META,0.29559426,676.603132,674.135,199.2704,0.19927244,-0.7296
2026-09-18T21:45:44.349430+00:00,2026-09-18,CASH,1,1,1,400.1102,0.40011419,0
